indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity
IOC00072,URL,https://www.lee.com/category/posts/searchhomepage.php,Trojan,Insider Threat,Low,Medium
IOC00073,Email Address,zacharyjones@example.org,Adware,Organized Crime Syndicate,High,High
IOC00074,File Hash (SHA256),e9f30374f6e21e12722d440dabcca399d52b8d0bd75a9059ff7c0d6820a1f1d3,Rootkit,Insider Threat,Low,High
IOC00075,Email Address,joshua15@example.net,Adware,Threat Group Charlie,High,Medium
IOC00076,IP Address,167.252.61.131,Malware,Threat Group Charlie,Medium,Low
IOC00077,IP Address,198.230.134.209,Backdoor,Insider Threat,Medium,Medium
IOC00078,URL,http://davis.com/categories/categories/categorysearch.htm,Phishing,Hacktivist Collective,Low,High
IOC00079,URL,http://hayes.com/postshome.htm,SQL Injection Campaign,Script Kiddie,Low,High
IOC00080,URL,http://diaz.info/explorecategory.php,SQL Injection Campaign,Threat Group Bravo,Medium,High
IOC00081,Email Address,websterelizabeth@example.com,Backdoor,Script Kiddie,Medium,High
IOC00082,Domain,horn.biz,DDoS,Unknown,High,High
IOC00083,File Hash (SHA256),11fd888c497ba5586451f70bbf2833476af8e0367df6b60793cc083c0f35ae98,Phishing,Insider Threat,Low,Medium
IOC00084,IP Address,195.238.210.181,Phishing,Threat Group Alpha,Low,High
IOC00085,URL,https://www.adams.com/searchhomepage.html,Cryptojacking,Insider Threat,Low,High
IOC00086,Email Address,josephsmall@example.net,Cryptojacking,Threat Group Charlie,High,Low
IOC00087,Email Address,eross@example.org,Phishing,Unknown,Medium,Medium
IOC00088,Domain,cummings.org,Ransomware,Unknown,Low,Medium
IOC00089,Email Address,mortonbrittany@example.net,Adware,Threat Group Alpha,High,High
IOC00090,Domain,mitchell.biz,Cryptojacking,Unknown,High,Critical
IOC00091,Email Address,jill76@example.org,Rootkit,Insider Threat,Low,High
IOC00092,Email Address,christopher47@example.net,Keylogger,Insider Threat,High,High
IOC00093,Domain,rice.info,DDoS,Organized Crime Syndicate,High,Critical
IOC00094,File Hash (SHA256),792b1301ee884590f9c8fbc3bd9752bd6cf91ea738290f4a620f056e57c04aaa,Brute Force,Script Kiddie,Low,Critical
IOC00095,Email Address,yolandatorres@example.com,DDoS,Threat Group Charlie,Low,Medium
IOC00096,File Hash (SHA256),00f739fa5d398d89403a7cb75b8ca751b263de0912ed6c943cb22d7b03d292f2,Adware,Anonymous Group,Medium,Medium
IOC00097,File Hash (SHA256),2fac37f1d78fc6496f08c30e832f37689e0a5857122d881dbfcc703750d18913,Brute Force,Script Kiddie,Low,Low
IOC00098,Domain,spencer.com,SQL Injection Campaign,Insider Threat,High,Low
IOC00099,Email Address,deannapennington@example.org,Malware,Threat Group Bravo,Medium,Low
IOC00100,Domain,martinez-gibbs.net,Keylogger,Unknown,Medium,Medium
IOC00101,URL,http://www.ruiz.net/posts/posts/postsindex.html,Keylogger,Hacktivist Collective,High,High
IOC00102,Domain,smith-jones.com,Rootkit,Threat Group Alpha,Medium,Medium
IOC00103,IP Address,86.150.37.94,DDoS,Script Kiddie,Low,Critical
IOC00104,File Hash (SHA256),050f0c4bf8e5ae886489bc801d218973521f4f811cec9d2526ea94ce0dc3cd37,Cryptojacking,Nation-State Actor (Unattributed),High,Medium
IOC00105,IP Address,186.212.77.90,Backdoor,Threat Group Charlie,Low,Medium
IOC00106,File Hash (SHA256),c90a889c65be109fcae74073cf7fa7d8c6a1ae882396bc6e8e04b72b09f10d95,Trojan,Organized Crime Syndicate,Low,Low
IOC00107,URL,https://fisher.com/tagpost.htm,SQL Injection Campaign,Hacktivist Collective,High,High
IOC00108,Domain,jackson-miller.biz,Brute Force,Unknown,Low,Medium
IOC00109,URL,http://www.williams.net/search/categoryregister.php,Trojan,Hacktivist Collective,High,High
IOC00110,IP Address,130.4.66.223,Worm,Unknown,Low,Low
IOC00111,URL,http://www.robinson.com/categorymain.php,Rootkit,Anonymous Group,High,Critical
IOC00112,URL,https://reyes-romero.com/list/main/tagsmain.html,Worm,Nation-State Actor (Unattributed),Medium,Low
IOC00113,File Hash (SHA256),8e60976756bc84b3bdb0090a19d0e617b28efe8fba9999f09303178492b1aff3,Backdoor,Organized Crime Syndicate,Low,Low
IOC00114,File Hash (SHA256),4a8928268f88f553e4a62b0f468ac246aefcf8e8512534942f9a797e40e12e7a,Trojan,Threat Group Alpha,Low,Medium
IOC00115,File Hash (SHA256),661a998509f9db330b49475611179daca68e77c346e8a6a59691e39ca7455fba,Trojan,Unknown,High,Critical
IOC00116,Domain,odonnell.biz,Keylogger,Nation-State Actor (Unattributed),Low,Medium
IOC00117,Domain,ellison.net,Brute Force,Insider Threat,Medium,Low
IOC00118,URL,https://www.rodriguez.net/categoryprivacy.htm,Cryptojacking,Unknown,Medium,Medium
IOC00119,URL,https://www.allen-cooper.com/tags/list/taglogin.html,Backdoor,Anonymous Group,High,Low
IOC00120,URL,https://www.maxwell.com/searchcategory.html,Rootkit,Hacktivist Collective,High,High
IOC00121,File Hash (SHA256),9c0796ad8ee5365c2e52897ffdd4127183376691f1185cd2e21e8464ecd40a68,Rootkit,Anonymous Group,Low,Critical
IOC00122,Domain,drake.info,DDoS,Organized Crime Syndicate,Medium,Low
IOC00123,Domain,lawrence.net,Trojan,Threat Group Bravo,Low,Medium
IOC00124,Domain,hill-lopez.com,Phishing,Insider Threat,Medium,High
IOC00125,IP Address,90.216.77.144,Backdoor,Threat Group Charlie,High,High
IOC00126,File Hash (SHA256),a74472a0f9c2a4665c46768a2ab38853f546c584ca542f1fbfbabe47efb710d6,Ransomware,Hacktivist Collective,Medium,High
IOC00127,File Hash (SHA256),1c4e666cee8e469c04ce8b4cadc862e4ec6f370a61c90644de4c7270880e7873,DDoS,Threat Group Charlie,High,High
IOC00128,File Hash (SHA256),3c89682dd5ab070ba3dd8dd41e05a505f67e9649ac5a0e7c6dff124876d3738f,Brute Force,Nation-State Actor (Unattributed),Medium,Low
IOC00129,URL,https://mclaughlin.com/appmain.jsp,Phishing,Threat Group Charlie,High,Critical
IOC00130,Domain,dennis.com,Ransomware,Hacktivist Collective,Medium,High
IOC00131,IP Address,195.110.58.189,DDoS,Threat Group Bravo,Low,High
IOC00132,URL,https://campbell.info/posts/posts/categorieshome.htm,Brute Force,Hacktivist Collective,Medium,Medium
IOC00133,IP Address,198.100.135.208,Backdoor,Insider Threat,Low,High
IOC00134,Email Address,kevinlindsey@example.org,Spyware,Threat Group Charlie,High,High
IOC00135,URL,https://ramirez.com/posts/postsmain.html,Trojan,Script Kiddie,Medium,High
IOC00136,Domain,johnson-moore.net,Cryptojacking,Hacktivist Collective,Low,High
IOC00137,Email Address,bdonovan@example.com,Ransomware,Organized Crime Syndicate,Low,High
IOC00138,Email Address,paulkatherine@example.net,Adware,Threat Group Charlie,Low,High
IOC00139,Domain,carlson-wright.org,Malware,Threat Group Alpha,High,Medium
IOC00140,File Hash (SHA256),3140918526bf985e513b426b388d76c1a49a9a0af39935e428fb64637e112756,DDoS,Threat Group Charlie,Low,Low
IOC00141,File Hash (SHA256),6a0130b41afafe2a9604158e9a757583ef30d30cf479f35f39db9092103c4ce6,Botnet,Threat Group Bravo,Low,High
IOC00142,IP Address,135.61.39.78,Ransomware,Anonymous Group,High,Medium
IOC00143,File Hash (SHA256),bbdd5beb370fe989e49a33fb84a77aa1bf4d51ca7b37e76ec42ad756aaf6bdab,Ransomware,Script Kiddie,Low,Low
IOC00144,Email Address,david62@example.org,Rootkit,Threat Group Alpha,High,Critical
IOC00145,File Hash (SHA256),553916fa2d52e3fb061b7805f3aef6ed817e0a9a3678ed04bc1a8b7cd1f5309f,Trojan,Threat Group Bravo,Medium,Critical
IOC00146,IP Address,182.223.34.98,Adware,Insider Threat,High,Medium
IOC00147,File Hash (SHA256),7c93a52b253680b8af02fab9905fe66d3c5d584d250dc78db22414569e72f08d,Cryptojacking,Hacktivist Collective,High,Low
IOC00148,File Hash (SHA256),943f867dd48bf919e072b1545e549fd5fea8c37b57185a8f21c951460a776962,Rootkit,Anonymous Group,High,High
IOC00149,URL,https://hall-obrien.info/category/wp-content/wp-contentterms.html,Adware,Anonymous Group,Medium,High
IOC00150,URL,https://johns-walker.com/tags/tagscategory.php,Spyware,Nation-State Actor (Unattributed),Medium,Medium
IOC00151,File Hash (SHA256),bddd5cad80481c2009ba34ad48016dacd52fca630f3725310968609f6773f801,DDoS,Threat Group Bravo,Medium,High
IOC00152,Email Address,daniellerodriguez@example.com,SQL Injection Campaign,Hacktivist Collective,High,Low
IOC00153,Domain,thompson.net,Ransomware,Script Kiddie,High,High
IOC00154,Domain,green-miller.org,Brute Force,Anonymous Group,Medium,Medium
IOC00155,File Hash (SHA256),ae75fa94ad5ba0fd137f30772c9a6273b55c23a10286340c70aa4256b50a7ab0,Spyware,Threat Group Alpha,High,Low
IOC00156,Domain,austin-west.org,Brute Force,Unknown,Medium,Low
IOC00157,IP Address,162.55.208.199,DDoS,Anonymous Group,Medium,Medium
IOC00158,Domain,cherry.net,Rootkit,Insider Threat,High,Medium
IOC00159,URL,https://ruiz.org/tag/tags/categoryregister.html,Botnet,Threat Group Charlie,Low,High
IOC00160,Email Address,christianbarnett@example.net,Malware,Script Kiddie,Medium,Critical
IOC00161,Domain,braun.com,Adware,Threat Group Charlie,Medium,High
IOC00162,URL,http://www.sanchez-jones.com/categories/blog/categorycategory.jsp,DDoS,Threat Group Alpha,High,Medium
IOC00163,Domain,ramirez.biz,Rootkit,Anonymous Group,Medium,Medium
IOC00164,File Hash (SHA256),0fdeee00d603ce30a2651d8983e8dc7de617552eae575d8a4a386bc842962743,Botnet,Organized Crime Syndicate,High,High
IOC00165,Email Address,amandagarrett@example.com,Adware,Insider Threat,Low,Medium
IOC00166,Domain,browning-berger.com,Rootkit,Threat Group Charlie,Medium,Low
IOC00167,File Hash (SHA256),92ba0ea3769ab1ed38ef34e571740f2847935d5deb776ea234abbee5a5be5995,Rootkit,Threat Group Alpha,High,Critical
IOC00168,IP Address,161.187.126.117,Keylogger,Threat Group Charlie,Low,Medium
IOC00169,Email Address,phillipevans@example.net,DDoS,Script Kiddie,Medium,Medium
IOC00170,Domain,garcia.net,Rootkit,Threat Group Charlie,Medium,High
IOC00171,IP Address,121.206.52.60,Ransomware,Script Kiddie,High,High
IOC00172,Email Address,janicecruz@example.com,Backdoor,Threat Group Charlie,Low,Medium
IOC00173,URL,https://www.gray-castro.org/search/searchmain.htm,Malware,Unknown,Medium,Medium
IOC00174,Domain,bernard.org,Trojan,Script Kiddie,Low,Medium
IOC00175,Domain,rivera-greer.com,Keylogger,Anonymous Group,Low,Low
IOC00176,Domain,gray.com,Backdoor,Organized Crime Syndicate,Medium,Low
IOC00177,Email Address,hufftina@example.com,Keylogger,Organized Crime Syndicate,High,Medium
IOC00178,Domain,velez-smith.com,Keylogger,Organized Crime Syndicate,Low,Medium
IOC00179,File Hash (SHA256),aecbfabbe1c02c33d22be79074efa1647847339f5520657d1094773303a5bf9b,Spyware,Script Kiddie,High,Low
IOC00180,Email Address,qfritz@example.org,Malware,Unknown,Medium,High
IOC00181,IP Address,221.202.255.215,Botnet,Threat Group Alpha,High,Low
IOC00182,Email Address,brentray@example.net,Backdoor,Threat Group Charlie,High,High
IOC00183,Domain,smith-parker.com,Worm,Threat Group Alpha,Low,High
IOC00184,URL,http://torres-nichols.com/tag/listprivacy.jsp,Keylogger,Threat Group Charlie,Low,High
IOC00185,File Hash (SHA256),693c6fc4bcaac43a711fb54b739a70cb6708a0af80c076f68a3119d1494f3bf8,Rootkit,Unknown,Low,Low
IOC00186,File Hash (SHA256),91ec3f0f6d2455ef229be6ecb9248279d87f8fd3b1641192e5da472d6454bd38,Worm,Organized Crime Syndicate,High,Medium
IOC00187,Domain,taylor-williams.com,Trojan,Unknown,Low,Critical
IOC00188,URL,https://www.carroll-nelson.com/mainmain.html,Worm,Anonymous Group,Low,Medium
IOC00189,URL,https://cruz.com/wp-content/tagfaq.html,Botnet,Hacktivist Collective,Low,Critical
IOC00190,File Hash (SHA256),71c32bbf0d70fbb10c01cda76ea071188a18466579ca4043528bb602ea52e137,Cryptojacking,Insider Threat,Low,High
IOC00191,File Hash (SHA256),2494b6a82578d2ee7b4ef978e59821a00bbb91fba798259ff8d95f7f9fbc1865,Spyware,Script Kiddie,Low,High
IOC00192,URL,http://www.henson-gutierrez.com/explore/tag/categorieshomepage.asp,Trojan,Insider Threat,Medium,High
IOC00193,Domain,burgess.com,Cryptojacking,Anonymous Group,High,Medium
IOC00194,Email Address,crawfordkyle@example.com,Brute Force,Anonymous Group,Low,Medium
IOC00195,Domain,smith.com,Rootkit,Hacktivist Collective,Medium,Medium
IOC00196,File Hash (SHA256),3df9dab33e416dcca47368b50221eca94841ab866ad79eb7691f31b93227030f,Spyware,Hacktivist Collective,Low,Low
IOC00197,Email Address,johnsonsarah@example.org,Spyware,Threat Group Bravo,Low,Medium
IOC00198,IP Address,175.188.23.211,Phishing,Unknown,Low,Medium
IOC00199,URL,https://www.navarro.biz/blogterms.php,Rootkit,Script Kiddie,Low,Low
IOC00200,IP Address,34.153.119.43,Brute Force,Anonymous Group,High,High
IOC00201,URL,http://www.martin-cisneros.org/postshome.htm,Phishing,Unknown,Low,High
IOC00202,File Hash (SHA256),a8ab5062e03a3f4fb526f9ccc85197aa3e4f7c885895b0a581d9c2d30644e276,Ransomware,Script Kiddie,Low,Medium
IOC00203,Email Address,monique16@example.org,Rootkit,Script Kiddie,Medium,Medium
IOC00204,File Hash (SHA256),fbb0e72e38158aa2eab787d5721f1528cba92f6f3cb650378ada093e44297512,Trojan,Nation-State Actor (Unattributed),Low,High
IOC00205,Domain,peters.com,SQL Injection Campaign,Threat Group Alpha,Low,Medium
IOC00206,Domain,lowery.biz,Phishing,Insider Threat,High,High
IOC00207,IP Address,137.131.88.153,Keylogger,Threat Group Bravo,Medium,Low
IOC00208,URL,https://www.miller.com/categoryprivacy.php,Botnet,Threat Group Charlie,High,Critical
IOC00209,Domain,thomas.com,Ransomware,Unknown,Medium,Medium
IOC00210,File Hash (SHA256),6d162da4d9ffe0b2a16ae1670c78a571f95d2eec6ff0022b773891f836c9e423,Backdoor,Threat Group Charlie,High,Low
IOC00211,Email Address,pcarpenter@example.org,Ransomware,Threat Group Charlie,High,Medium
IOC00212,URL,https://www.simmons.com/categoriesauthor.htm,SQL Injection Campaign,Anonymous Group,Low,Medium
IOC00213,IP Address,142.232.183.183,Malware,Insider Threat,Low,Critical
IOC00214,Email Address,larsonkenneth@example.org,Keylogger,Threat Group Bravo,Low,Low
IOC00215,File Hash (SHA256),36e8d82b2b6f13c95237150b466d1e4f3f233eb617b432c99bb6679a312b89e3,Adware,Threat Group Charlie,Medium,Medium
IOC00216,File Hash (SHA256),1fd170b23c282c3b8d7f02779cc98d5a0c55944773491a50640830f58bd3c357,Keylogger,Hacktivist Collective,Medium,Low
IOC00217,IP Address,66.171.158.170,Ransomware,Threat Group Charlie,High,Medium
IOC00218,IP Address,20.87.17.172,Cryptojacking,Anonymous Group,Low,High
IOC00219,IP Address,213.228.90.167,Worm,Hacktivist Collective,Low,Low
IOC00220,IP Address,102.76.17.82,Trojan,Hacktivist Collective,Low,Critical
IOC00221,URL,http://carter.net/blogterms.asp,Rootkit,Insider Threat,Medium,Critical
IOC00222,IP Address,191.51.142.133,Malware,Unknown,Medium,High
IOC00223,Email Address,jamesowens@example.org,Cryptojacking,Unknown,Low,Low
IOC00224,IP Address,190.176.22.55,Botnet,Unknown,Medium,High
IOC00225,URL,https://burns-foster.com/list/tags/tagindex.html,Spyware,Anonymous Group,High,Medium
IOC00226,URL,http://www.henderson.com/categoriesabout.html,Botnet,Unknown,Low,Medium
IOC00227,Domain,hernandez.org,Brute Force,Nation-State Actor (Unattributed),High,Medium
IOC00228,Email Address,njones@example.com,Ransomware,Threat Group Bravo,High,Medium
IOC00229,Domain,thompson-garcia.net,SQL Injection Campaign,Organized Crime Syndicate,Medium,Low
IOC00230,IP Address,98.117.220.250,Keylogger,Insider Threat,Medium,Low
IOC00231,IP Address,97.190.218.244,Rootkit,Organized Crime Syndicate,Medium,Medium
IOC00232,Domain,smith.biz,Worm,Script Kiddie,Low,Medium
IOC00233,Domain,norris.com,Adware,Anonymous Group,High,High
IOC00234,Email Address,samanthaparker@example.com,Trojan,Unknown,Medium,Medium
IOC00235,Domain,gomez.com,Spyware,Threat Group Charlie,High,High
IOC00236,Email Address,dustincraig@example.com,Adware,Anonymous Group,Low,High
IOC00237,File Hash (SHA256),92748ff1a33ba5168d744d320c3bd3194091d3205b68a7489eca20aafcaf1d0a,Rootkit,Threat Group Bravo,High,High
IOC00238,File Hash (SHA256),5b81035e0808d61f5445a8954f28cca238cc39d9c294c2b5fd562100acb384ed,Brute Force,Threat Group Alpha,High,High
IOC00239,IP Address,18.125.223.117,Phishing,Threat Group Alpha,High,Critical
IOC00240,File Hash (SHA256),176bd9e81f12f4e50dfcbd3e7bba70b020c38c36f4472a7ed830c4256a98578f,Trojan,Nation-State Actor (Unattributed),Medium,Critical
IOC00241,Email Address,pamelamorris@example.net,Keylogger,Threat Group Charlie,High,High
IOC00242,Domain,boyd-brewer.com,Adware,Anonymous Group,Medium,Medium
IOC00243,IP Address,92.209.112.197,Cryptojacking,Unknown,Medium,Low
IOC00244,URL,https://rodgers.com/listauthor.htm,Phishing,Unknown,Medium,High
IOC00245,File Hash (SHA256),8a5baa29cc5e0a683a84ef4c5a7e472b9cebed8e297eff51dab7c6c6caf363b2,Worm,Organized Crime Syndicate,High,Critical
IOC00246,Email Address,sarah08@example.org,Spyware,Nation-State Actor (Unattributed),Low,Critical
IOC00247,File Hash (SHA256),159ba50680ec9cd1553cf335315a9ed02e8638f492d63ae33f5e4640c00f55be,Worm,Organized Crime Syndicate,High,High
IOC00248,IP Address,220.214.114.113,Ransomware,Threat Group Charlie,Medium,Critical
IOC00249,File Hash (SHA256),5adb2a5467fed0e82e02c6fc3ce49dba53fdcdb8d29afaedebfc77efa035dec5,Backdoor,Script Kiddie,Medium,Critical
IOC00250,IP Address,213.64.19.109,Brute Force,Insider Threat,High,Medium
IOC00251,File Hash (SHA256),083435eba6a1ed2183d0443146d966e1b298ba7947e792260421bdedc4d53686,Rootkit,Hacktivist Collective,High,Medium
IOC00252,URL,http://www.pruitt.net/tags/tagsindex.html,Botnet,Nation-State Actor (Unattributed),High,Medium
IOC00253,Domain,williams-rivers.com,Cryptojacking,Threat Group Charlie,Medium,High
IOC00254,File Hash (SHA256),e03829e9f80b4427f1f6048376f5db1853ef10aca8b02546efb14c87300dea6c,Backdoor,Nation-State Actor (Unattributed),Medium,Medium
IOC00255,Email Address,david33@example.com,Keylogger,Anonymous Group,High,Critical
IOC00256,File Hash (SHA256),514b8df77ba8dc70301915a07dfd4e0dd87a206f091b22f71216c5b29b391d8f,Rootkit,Unknown,Medium,High
IOC00257,IP Address,161.238.104.193,Trojan,Hacktivist Collective,High,Low
IOC00258,IP Address,154.149.180.126,Malware,Unknown,Medium,Medium
IOC00259,File Hash (SHA256),8c78041395501cc474db24cad84c7a8dc3c133472e4202e8d7ebe85e00b79356,Spyware,Threat Group Alpha,Low,Critical
IOC00260,Email Address,bsuarez@example.net,SQL Injection Campaign,Threat Group Alpha,Medium,Medium
IOC00261,Email Address,cwilson@example.org,Rootkit,Threat Group Bravo,Medium,High
IOC00262,URL,http://hernandez.com/app/postsmain.asp,SQL Injection Campaign,Organized Crime Syndicate,Low,Low
IOC00263,URL,http://www.ray.biz/wp-content/postsregister.php,Ransomware,Script Kiddie,High,Critical
IOC00264,Domain,gardner.com,Backdoor,Threat Group Bravo,Low,Low
IOC00265,File Hash (SHA256),310113d2026ce18e72e20079e5ee79e19b317277ce6cc6b47fe9f8c835cc6e3b,Adware,Anonymous Group,Medium,Low
IOC00266,File Hash (SHA256),dec737d43f2c6ce0f1d8471be4f71c733683678eb219e257d1776b49c2f31e30,Rootkit,Hacktivist Collective,Low,Low
IOC00267,URL,http://marquez.info/explore/apppost.html,Cryptojacking,Threat Group Alpha,High,High
IOC00268,Email Address,vgonzalez@example.com,Keylogger,Threat Group Alpha,Medium,Medium
IOC00269,IP Address,49.150.97.158,Botnet,Threat Group Alpha,High,Medium
IOC00270,File Hash (SHA256),0388b50a874f1d410911942a85a292bfed7b03c55502f2ed310355bd02778fc6,Worm,Threat Group Alpha,High,High
IOC00271,URL,https://www.caldwell.com/listpost.php,Spyware,Unknown,High,High
IOC00272,Email Address,robertsonscott@example.net,Ransomware,Script Kiddie,Low,Medium
IOC00273,IP Address,64.80.238.211,Backdoor,Hacktivist Collective,Low,Medium
